DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn05775	NADPH:ferrileghemoglobin oxidoreductase	|1.6.2.6|	R00109	10000000	10000000	cpd00005_c0 + cpd00067_c0 + (2) cpd12158_c0 <=> cpd00006_c0 + (2) cpd12160_c0	TPNH + H+ + 2 Ferrileghemoglobin <=> TPN + 2 Ferroleghemoglobin	<=>
rxn05774	NADPH:ferricytochrome-c2 oxidoreductase	|1.6.2.5|	R00108	10000000	10000000	cpd00005_c0 + cpd00067_c0 + (2) cpd11796_c0 <=> cpd00006_c0 + (2) cpd11798_c0	TPNH + H+ + 2 Ferricytochrome c2 <=> TPN + 2 Ferrocytochrome c2	<=>
rxn05773	NADH:ferrileghemoglobin oxidoreductase	|1.6.2.6|	R00101	10000000	10000000	cpd00004_c0 + cpd00067_c0 + (2) cpd12158_c0 <=> cpd00003_c0 + (2) cpd12160_c0	NADH + H+ + 2 Ferrileghemoglobin <=> NAD + 2 Ferroleghemoglobin	<=>
rxn05772	NADH:ferricytochrome-b5 oxidoreductase	|1.6.2.2|	R00100	10000000	10000000	cpd00004_c0 + cpd00067_c0 + (2) cpd11795_c0 <=> cpd00003_c0 + (2) cpd11797_c0	NADH + H+ + 2 Ferricytochrome b5 <=> NAD + 2 Ferrocytochrome b5	<=>
rxn05771	Ferrocytochrome c2:oxygen oxidoreductase	|1.7.2.1|	R00082	10000000	10000000	cpd00007_c0 + (4) cpd11798_c0 <=> (2) cpd00001_c0 + (4) cpd11796_c0	O2 + 4 Ferrocytochrome c2 <=> 2 H2O + 4 Ferricytochrome c2	<=>
rxn05770	[Phosphorylase a] phosphohydrolase	|3.1.3.17|	R00077	10000000	10000000	(4) cpd00001_c0 + cpd12067_c0 <=> (4) cpd00009_c0 + (2) cpd12068_c0	4 H2O + Phosphorylase a <=> 4 Phosphate + 2 Phosphorylase b	<=>
rxn05769	ATP:phosphorylase-b phosphotransferase	|2.7.11.19|		10000000	10000000	(2) cpd00002_c0 + cpd12068_c0 <=> (2) cpd00008_c0 + cpd12067_c0	2 ATP + Phosphorylase b <=> 2 ADP + Phosphorylase a	<=>
rxn05768	rxn05768			82.8797	0.886587	(2) cpd12781_c0 <=> cpd00007_c0 + (2) cpd12780_c0	2 5-Hydroxy-2-polyprenylphenol <=> O2 + 2 2-Polyprenylphenol	<=
rxn05767	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	|1.18.6.1|	R00067	10000000	10000000	(2) cpd00067_c0 + (2) cpd12713_c0 <=> cpd11640_c0	2 H+ + 2 e- <=> H2	<=>
rxn05766	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	|1.21.3.5|	R00061	10000000	10000000	cpd00007_c0 + (2) cpd00385_c0 <=> (2) cpd00001_c0 + (2) cpd12243_c0	O2 + 2 Sulochrin <=> 2 H2O + 2 (-)-Bisdechlorogeodin	<=>
rxn05765	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	|1.21.3.4|	R00060	10000000	10000000	cpd00007_c0 + (2) cpd00385_c0 <=> (2) cpd00001_c0 + (2) cpd12242_c0	O2 + 2 Sulochrin <=> 2 H2O + 2 (+)-Bisdechlorogeodin	<=>
rxn05764	Thiol:oxygen oxidoreductase	|1.8.3.2|	R00057	-102.938	3.67178	cpd00007_c0 + (4) cpd11884_c0 <=> (2) cpd00001_c0 + (2) cpd12074_c0	O2 + 4 R'C(R)SH <=> 2 H2O + 2 R'C(R)S-S(R)CR'	=>
rxn05763	Dinucleotide nucleotidohydrolase	|3.6.1.9|	R00056	-9.313	0.746895	cpd00001_c0 + cpd11973_c0 <=> (2) cpd01469_c0	H2O + Dinucleotide <=> 2 Mononucleotide	=>
rxn05762	Chloride:hydrogen-peroxide oxidoreductase	|1.11.1.10|		10000000	10000000	cpd00025_c0 + (2) cpd00099_c0 + (2) cpd11855_c0 <=> (2) cpd00001_c0 + (2) cpd11847_c0	H2O2 + 2 HCl + 2 RH <=> 2 H2O + 2 RCl	<=>
rxn05761	Long-chain-alcohol:oxygen oxidoreductase	|1.1.3.20|	R00041	-91.8537	1.20496	cpd00007_c0 + (2) cpd11650_c0 <=> (2) cpd00001_c0 + (2) cpd11709_c0	O2 + 2 Long-chain alcohol <=> 2 H2O + 2 Long-chain aldehyde	=>
rxn05760	L-Glutamate:ferredoxin oxidoreductase (transaminating)	|1.4.7.1|		10000000	10000000	(2) cpd00023_c0 + cpd11621_c0 <=> cpd00024_c0 + cpd00053_c0 + (2) cpd00067_c0 + cpd11620_c0	2 GLU + Oxidizedferredoxin <=> 2-Oxoglutarate + L-Glutamine + 2 H+ + Reducedferredoxin	<=>
rxn05759	Reduced ferredoxin:H+ oxidoreductase	|1.12.7.2|	R00019	10000000	10000000	(2) cpd00067_c0 + (2) cpd11620_c0 <=> (2) cpd11621_c0 + cpd11640_c0	2 H+ + 2 Reducedferredoxin <=> 2 Oxidizedferredoxin + H2	<=>
rxn05758	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	|1.18.6.1|		10000000	10000000	(16) cpd00001_c0 + (16) cpd00002_c0 <=> (16) cpd00008_c0 + (16) cpd00009_c0 + (8) cpd00067_c0 + (8) cpd12713_c0	16 H2O + 16 ATP <=> 16 ADP + 16 Phosphate + 8 H+ + 8 e-	<=>
rxn05757	Polyphosphate polyphosphohydrolase	|3.6.1.10|		10000000	10000000	cpd00001_c0 + cpd11772_c0 <=> cpd12039_c0	H2O + Polyphosphate <=> Oligophosphate	<=>
rxn05749	succinate dehydrogenase	|Undetermined,|Undetermined, |		-16.979	3.42754	(2) cpd00067_e0 + cpd00982_c0 + cpd11606_c0 <=> cpd00015_c0 + (2) cpd00067_c0 + cpd11451_c0	2 H+ + FADH2 + Menaquinone 7 <=> FAD + 2 H+ + mql7	=>
rxn05748	nitrate reductase	|1.7.99.4,|1.7.99.4, |		-13.188	3.01313	(2) cpd00067_c0 + cpd00209_c0 + cpd11451_c0 <=> cpd00001_c0 + (2) cpd00067_e0 + cpd00075_c0 + cpd11606_c0	2 H+ + Nitrate + mql7 <=> H2O + 2 H+ + Nitrite + Menaquinone 7	<=>
rxn05747	NADH dehydrogenase (Menaquinone 7 & cpd00418_c0 proton)	|1.6.5.3|		-21.529	3.06969	cpd00004_c0 + cpd00067_c0 + cpd11606_c0 <=> cpd00003_c0 + cpd11451_c0	NADH + H+ + Menaquinone 7 <=> NAD + mql7	=>
rxn05746	Maltodextrin glucosidase (maltotriose)			-3.113	0.692797	cpd00001_c0 + cpd01262_c0 <=> cpd00027_c0 + cpd00179_c0	H2O + Maltotriose <=> Glucose + Maltose	<=>
rxn05745	Methyl-cis-aconitase	|Undetermined|		0	2	cpd01501_c0 <=> cpd02799_c0	2-Methylcitrate <=> Methylisocitrate	<=>
rxn05744	b-ketoacyl synthetase (n-C14:0)	|2.3.1.41|		-101.703	15.2297	(12) cpd00005_c0 + cpd00022_c0 + (17) cpd00067_c0 + (6) cpd00070_c0 <=> (5) cpd00001_c0 + (12) cpd00006_c0 + (7) cpd00010_c0 + (6) cpd00011_c0 + cpd03847_c0	12 TPNH + Acetyl-CoA + 17 H+ + 6 Malonyl-CoA <=> 5 H2O + 12 TPN + 7 CoA + 6 CO2 + Myristic acid	=>
rxn05743	inositol catabolic reactions (lumped)			-20.67	1.29878	cpd00002_c0 + cpd00524_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd00095_c0 + cpd00191_c0	ATP + 2-Inosose <=> ADP + H+ + Glycerone phosphate + 3-Oxopropanoate	=>
rxn05740	cpd00155_c0 phosphorylase	2.4.1.1		-0.796	0.676477	cpd00009_c0 + cpd00067_c0 + cpd00155_c0 <=> cpd00089_c0 + cpd15302_c0	Phosphate + H+ + Glycogen <=> Cori ester + glycogen(n-1)	<=>
rxn05739	glycerol-3-phosphate dehydrogenase (menaquinone 7)	|1.1.99.5|		-17.769	2.88741	cpd00080_c0 + cpd11606_c0 <=> cpd00095_c0 + cpd11451_c0	GLYC-3-P + Menaquinone 7 <=> Glycerone phosphate + mql7	=>
rxn05737	FMN-dependent monooxygenase (taurine)			-71.9142	2.15635	cpd00007_c0 + cpd00210_c0 + cpd01270_c0 <=> cpd00001_c0 + cpd00050_c0 + cpd00081_c0 + cpd04122_c0	O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde	=>
rxn05736	fatty-acid--CoA ligase (tetradecanoate)	|6.2.1.3|		-2.486	1.23168	cpd00002_c0 + cpd00010_c0 + cpd00067_c0 + cpd03847_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd01695_c0	ATP + CoA + H+ + Myristic acid <=> PPi + AMP + Myristoyl-CoA	=>
rxn05735	aldehyde dehydrogenase (aminoacetaldehyde, NAD)			-9.803	1.17612	cpd00001_c0 + cpd00003_c0 + cpd04122_c0 <=> cpd00004_c0 + cpd00033_c0 + (2) cpd00067_c0	H2O + NAD + Aminoacetaldehyde <=> NADH + Gly + 2 H+	=>
rxn05734	aldehyde dehydrogenase (glyoxylate, NAD)			-7.063	1.29103	cpd00001_c0 + cpd00003_c0 + cpd00040_c0 <=> cpd00004_c0 + (2) cpd00067_c0 + cpd00180_c0	H2O + NAD + Glyoxylate <=> NADH + 2 H+ + Oxalate	<=>
rxn05733	cysteine synthase (Thiosulfate)	|4.2.99.8|2.5.1.47|2.5.1.49|	R04859	-13.986	2.13524	cpd00268_c0 + cpd00722_c0 + cpd11421_c0 <=> cpd00029_c0 + cpd00081_c0 + cpd00084_c0 + cpd11420_c0	H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox	=>
rxn05731	Taurocholic Acid transport in via proton symport			0	2	cpd00067_e0 + cpd03047_e0 <=> cpd00067_c0 + cpd03047_c0	H+ + Taurocholate <=> H+ + Taurocholate	<=>
rxn05732	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	|1.3.99.3|		16.55	1.19027	cpd00003_c0 + cpd00134_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd03126_c0	NAD + Palmitoyl-CoA <=> NADH + H+ + (2E)-Hexadecenoyl-CoA	<=
rxn05730	Tetrathionate transport in via proton symport			0	2	cpd00067_e0 + cpd01414_e0 <=> cpd00067_c0 + cpd01414_c0	H+ + Tetrathionate <=> H+ + Tetrathionate	<=>
rxn05727	2-Deoxy-D-Glucose 6-Phosphate transport in via proton symport			0	2	cpd00067_e0 + cpd03805_e0 <=> cpd00067_c0 + cpd03805_c0	H+ + 2-Deoxy-D-glucose 6-phosphate <=> H+ + 2-Deoxy-D-glucose 6-phosphate	<=>
rxn05728	Thiosulfate transport in via proton symport			0	2	cpd00067_e0 + cpd00268_e0 <=> cpd00067_c0 + cpd00268_c0	H+ + H2S2O3 <=> H+ + H2S2O3	<=>
rxn05726	Phosphono Acetic Acid transport in via proton symport			0	2	cpd00067_e0 + cpd03385_e0 <=> cpd00067_c0 + cpd03385_c0	H+ + Fosfonet <=> H+ + Fosfonet	<=>
rxn05725	2-Aminoethyl Phosphonic Acid transport in via proton symport			0	2	cpd00067_e0 + cpd02233_e0 <=> cpd00067_c0 + cpd02233_c0	H+ + Ciliatine <=> H+ + Ciliatine	<=>
rxn05724	Cytidine- 2'- Monophosphate transport in via proton symport			0	2	cpd00067_e0 + cpd01991_e0 <=> cpd00067_c0 + cpd01991_c0	H+ + 2'-Cytidylic acid <=> H+ + 2'-Cytidylic acid	<=>
rxn05723	Phosphocreatine transport in via proton symport			0	2	cpd00067_e0 + cpd01550_e0 <=> cpd00067_c0 + cpd01550_c0	H+ + Phosphocreatine <=> H+ + Phosphocreatine	<=>
rxn05719	Cytidine- 3',5'-Cyclic Monophosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00696_e0 <=> cpd00067_c0 + cpd00696_c0	H+ + 3',5'-Cyclic CMP <=> H+ + 3',5'-Cyclic CMP	<=>
rxn05720	Guanosine- 3',5'-Cyclic Monophosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00697_e0 <=> cpd00067_c0 + cpd00697_c0	H+ + cGMP <=> H+ + cGMP	<=>
rxn05721	Adenosine- 2'-Monophosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00700_e0 <=> cpd00067_c0 + cpd00700_c0	H+ + 2'-Adenylic acid <=> H+ + 2'-Adenylic acid	<=>
rxn05722	Trimetaphosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00793_e0 <=> cpd00067_c0 + cpd00793_c0	H+ + TMP <=> H+ + TMP	<=>
rxn05717	Tripolyphosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00421_e0 <=> cpd00067_c0 + cpd00421_c0	H+ + Triphosphate <=> H+ + Triphosphate	<=>
rxn05718	Phosphoryl Choline transport in via proton symport			0	2	cpd00067_e0 + cpd00457_e0 <=> cpd00067_c0 + cpd00457_c0	H+ + Phosphocholine <=> H+ + Phosphocholine	<=>
rxn05716	O-Phosphoryl-Ethanolamine transport in via proton symport			0	2	cpd00067_e0 + cpd00285_e0 <=> cpd00067_c0 + cpd00285_c0	H+ + Phosphoethanolamine <=> H+ + Phosphoethanolamine	<=>
rxn05715	D-Valine transport in via proton symport			0	2	cpd00067_e0 + cpd03840_e0 <=> cpd00067_c0 + cpd03840_c0	H+ + D-Valine <=> H+ + D-Valine	<=>
rxn05714	D-Mannosamine transport in via proton symport			0	2	cpd00067_e0 + cpd02241_e0 <=> cpd00067_c0 + cpd02241_c0	H+ + D-Mannosamine <=> H+ + D-Mannosamine	<=>
rxn05711	D-Asparagine transport in via proton symport			0	2	cpd00067_e0 + cpd01308_e0 <=> cpd00067_c0 + cpd01308_c0	H+ + D-Asparagine <=> H+ + D-Asparagine	<=>
rxn05713	D-Galactosamine transport in via proton symport			0	2	cpd00067_e0 + cpd01524_e0 <=> cpd00067_c0 + cpd01524_c0	H+ + D-Galactosamine <=> H+ + D-Galactosamine	<=>
rxn05710	Ethylamine transport in via proton symport			0	2	cpd00067_e0 + cpd00591_e0 <=> cpd00067_c0 + cpd00591_c0	H+ + Ethylamine <=> H+ + Ethylamine	<=>
rxn05708	Formamide transport in via proton symport			0	2	cpd00067_e0 + cpd00378_e0 <=> cpd00067_c0 + cpd00378_c0	H+ + Formamide <=> H+ + Formamide	<=>
rxn05709	D-Lysine transport in via proton symport			0	2	cpd00067_e0 + cpd00549_e0 <=> cpd00067_c0 + cpd00549_c0	H+ + D-Lysine <=> H+ + D-Lysine	<=>
rxn05706	Histamine transport in via proton symport			0	2	cpd00067_e0 + cpd00312_e0 <=> cpd00067_c0 + cpd00312_c0	H+ + Histamine <=> H+ + Histamine	<=>
rxn05704	Methylamine transport in via proton symport			0	2	cpd00067_e0 + cpd00187_e0 <=> cpd00067_c0 + cpd00187_c0	H+ + Methylamine <=> H+ + Methylamine	<=>
rxn05703	Hydroxylamine transport in via proton symport			0	2	cpd00067_e0 + cpd00165_e0 <=> cpd00067_c0 + cpd00165_c0	H+ + Hydroxylamine <=> H+ + Hydroxylamine	<=>
rxn05701	b-Methyl-D-Glucoside transport in via proton symport			0	2	cpd00067_e0 + cpd11603_e0 <=> cpd00067_c0 + cpd11603_c0	H+ + b-Methyl-D-Glucoside <=> H+ + b-Methyl-D-Glucoside	<=>
rxn05700	Amygdalin transport in via proton symport			0	2	cpd00067_e0 + cpd05240_e0 <=> cpd00067_c0 + cpd05240_c0	H+ + Amygdalin <=> H+ + Amygdalin	<=>
rxn05699	Gentiobiose transport in via proton symport			0	2	cpd00067_e0 + cpd05158_e0 <=> cpd00067_c0 + cpd05158_c0	H+ + Gentiobiose <=> H+ + Gentiobiose	<=>
rxn05698	Lactulose transport in via proton symport			0	2	cpd00067_e0 + cpd04349_e0 <=> cpd00067_c0 + cpd04349_c0	H+ + Lactulose <=> H+ + Lactulose	<=>
rxn05697	D-Psicose transport in via proton symport			0	2	cpd00067_e0 + cpd03884_e0 <=> cpd00067_c0 + cpd03884_c0	H+ + D-Psicose <=> H+ + D-Psicose	<=>
rxn05695	Inulin transport in via proton symport			0	2	cpd00067_e0 + cpd11602_e0 <=> cpd00067_c0 + cpd11602_c0	H+ + Inulin <=> H+ + Inulin	<=>
rxn05696	D-Glucosaminic Acid transport in via proton symport			0	2	cpd00067_e0 + cpd02351_e0 <=> cpd00067_c0 + cpd02351_c0	H+ + Glucosaminate <=> H+ + Glucosaminate	<=>
rxn05694	L-Pyroglutamic Acid transport in via proton symport			0	2	cpd00067_e0 + cpd01293_e0 <=> cpd00067_c0 + cpd01293_c0	H+ + 5-Oxoproline <=> H+ + 5-Oxoproline	<=>
rxn05693	Stachyose transport in via proton symport			0	2	cpd00067_e0 + cpd01133_e0 <=> cpd00067_c0 + cpd01133_c0	H+ + Stachyose <=> H+ + Stachyose	<=>
rxn05691	L-Fucose transport in via proton symport			0	2	cpd00067_e0 + cpd00751_e0 <=> cpd00067_c0 + cpd00751_c0	H+ + L-Fucose <=> H+ + L-Fucose	<=>
rxn05692	L-Lyxose transport in via proton symport			0	2	cpd00067_e0 + cpd01067_e0 <=> cpd00067_c0 + cpd01067_c0	H+ + L-Lyxose <=> H+ + L-Lyxose	<=>
rxn05690	D-Fucose transport in via proton symport			0	2	cpd00067_e0 + cpd00750_e0 <=> cpd00067_c0 + cpd00750_c0	H+ + D-Fucose <=> H+ + D-Fucose	<=>
rxn05689	D-Tagatose transport in via proton symport			0	2	cpd00067_e0 + cpd00589_e0 <=> cpd00067_c0 + cpd00589_c0	H+ + D-Tagatose <=> H+ + D-Tagatose	<=>
rxn05687	Putrescine transport in via proton symport			0	2	cpd00067_e0 + cpd00118_e0 <=> cpd00067_c0 + cpd00118_c0	H+ + PUTR <=> H+ + PUTR	=>
rxn05688	Pectin transport in via proton symport			0	2	cpd00067_e0 + cpd11601_e0 <=> cpd00067_c0 + cpd11601_c0	H+ + Pectin <=> H+ + Pectin	<=>
rxn05686	Tyramine transport in via proton symport			0	2	cpd00067_e0 + cpd00374_e0 <=> cpd00067_c0 + cpd00374_c0	H+ + Tyramine <=> H+ + Tyramine	<=>
rxn05684	L-Homoserine transport in via proton symport			0	2	cpd00067_e0 + cpd00227_e0 <=> cpd00067_c0 + cpd00227_c0	H+ + L-Homoserine <=> H+ + L-Homoserine	<=>
rxn05685	Adonitol transport in via proton symport			0	2	cpd00067_e0 + cpd00366_e0 <=> cpd00067_c0 + cpd00366_c0	H+ + Ribitol => H+ + Ribitol	<=>
rxn05683	butanoate transport in via proton symport			0	2	cpd00067_e0 + cpd00211_e0 <=> cpd00067_c0 + cpd00211_c0	H+ + Butyrate <=> H+ + Butyrate	<=>
rxn05682	allantoin transport in via proton symport			0	2	cpd00067_e0 + cpd01092_e0 <=> cpd00067_c0 + cpd01092_c0	H+ + Allantoin <=> H+ + Allantoin	<=>
rxn05681	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible			0	2	cpd00067_e0 + cpd00176_e0 <=> cpd00067_c0 + cpd00176_c0	H+ + 2-keto-3-deoxygluconate <=> H+ + 2-keto-3-deoxygluconate	<=>
rxn05680	Xanthosine transport via proton symport			0	2	cpd00067_e0 + cpd01217_e0 <=> cpd00067_c0 + cpd01217_c0	H+ + Xanthosine <=> H+ + Xanthosine	<=>
rxn05679	dTMP transport in/out via proton symport			0	2	cpd00067_e0 + cpd00298_e0 <=> cpd00067_c0 + cpd00298_c0	H+ + dTMP <=> H+ + dTMP	<=>
rxn05678	hydroquinone transport in/out via proton symport			0	2	cpd00067_e0 + cpd00415_e0 <=> cpd00067_c0 + cpd00415_c0	H+ + Quinol <=> H+ + Quinol	<=>
rxn05674	L-Citrulline transport in via proton symport			0	2	cpd00067_e0 + cpd00274_e0 <=> cpd00067_c0 + cpd00274_c0	H+ + Citrulline <=> H+ + Citrulline	<=>
rxn05676	MAN6P transport in/out via proton symport			0	2	cpd00067_e0 + cpd00235_e0 <=> cpd00067_c0 + cpd00235_c0	H+ + D-Mannose6-phosphate <=> H+ + D-Mannose6-phosphate	<=>
rxn05673	galacturonate transport in via proton symport	|TC-2.A.1.14|2.A.1.14|		0	2	cpd00067_e0 + cpd00280_e0 <=> cpd00067_c0 + cpd00280_c0	H+ + D-Galacturonate <=> H+ + D-Galacturonate	<=>
rxn05671	D-xylose transport in via proton symport			0	2	cpd00067_e0 + cpd00154_e0 <=> cpd00067_c0 + cpd00154_c0	H+ + Xylose <=> H+ + Xylose	<=>
rxn05672	D-glutamate transport in via proton symport			0	2	cpd00067_e0 + cpd00186_e0 <=> cpd00067_c0 + cpd00186_c0	H+ + D-Glutamate <=> H+ + D-Glutamate	<=>
rxn05667	Urea transport via facilitate diffusion			0	2	cpd00073_e0 <=> cpd00073_c0	Urea <=> Urea	<=>
rxn05669	L-valine transport in via proton symport			0	2	cpd00067_e0 + cpd00156_e0 <=> cpd00067_c0 + cpd00156_c0	H+ + L-Valine <=> H+ + L-Valine	<=>
rxn05665	UMP transport in via proton symport			0	2	cpd00067_e0 + cpd00091_e0 <=> cpd00067_c0 + cpd00091_c0	H+ + UMP <=> H+ + UMP	<=>
rxn05663	L-tryptophan transport in via proton symport	|TC-2.A.3.1|2.A.3.1|		0	2	cpd00065_e0 + cpd00067_e0 <=> cpd00065_c0 + cpd00067_c0	Tryptophan + H+ <=> Tryptophan + H+	<=>
rxn05661	TMP transport in/out via proton symport			0	2	cpd00067_e0 + cpd01622_e0 <=> cpd00067_c0 + cpd01622_c0	H+ + Trimetaphosphate <=> H+ + Trimetaphosphate	<=>
rxn05659	thymine transport in/out via proton symport			0	2	cpd00067_e0 + cpd00151_e0 <=> cpd00067_c0 + cpd00151_c0	H+ + Thymine <=> H+ + Thymine	<=>
rxn05657	thioglycolate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01415_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01415_c0	H2O + ATP + Thioglycolate <=> ADP + Phosphate + H+ + Thioglycolate	=>
rxn05656	sulfoacetate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd09878_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd09878_c0	H2O + ATP + Sulfoacetate <=> ADP + Phosphate + H+ + Sulfoacetate	=>
rxn05655	sucrose transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00076_e0 <=> cpd00020_c0 + cpd01693_c0	PEP + SUCR <=> Pyruvate + 6-Phosphosucrose	<=>
rxn05654	succinate transporter in/out via proton symport	|TC-2.A.56|2.A.56|		0	2	cpd00036_e0 + cpd00067_e0 <=> cpd00036_c0 + cpd00067_c0	Succinate + H+ <=> Succinate + H+	<=>
rxn05652	spermidine transport out via proton antiport			0	2	cpd00067_e0 + cpd00264_c0 <=> cpd00067_c0 + cpd00264_e0	H+ + Spermidine <=> H+ + Spermidine	<=>
rxn05653	L-sorbose reversible transport			0	2	cpd00212_e0 <=> cpd00212_c0	L-Sorbose <=> L-Sorbose	<=>
rxn05651	sulfate transport in via proton symport	|TC-2.A.53|2.A.53|		0	2	cpd00048_e0 + cpd00067_e0 <=> cpd00048_c0 + cpd00067_c0	SLF + H+ <=> SLF + H+	<=>
rxn05648	D-sorbitol transport in via proton symport			0	2	cpd00067_e0 + cpd00588_e0 <=> cpd00067_c0 + cpd00588_c0	H+ + Sorbitol <=> H+ + Sorbitol	<=>
rxn05649	D-serine transport in/out via proton symport	|TC-2.A.3.1|2.A.3.1|		0	2	cpd00067_e0 + cpd00550_e0 <=> cpd00067_c0 + cpd00550_c0	H+ + D-Serine <=> H+ + D-Serine	<=>
rxn05647	salicin transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd01030_e0 <=> cpd00020_c0 + cpd03698_c0	PEP + Salicin <=> Pyruvate + Salicin-6P	<=>
rxn05645	riboflavin transport in/out via proton symport			0	2	cpd00067_e0 + cpd00220_e0 <=> cpd00067_c0 + cpd00220_c0	H+ + RIBF <=> H+ + RIBF	<=>
rxn05646	L-rhamnose transport via proton symport			0	2	cpd00067_e0 + cpd00396_e0 <=> cpd00067_c0 + cpd00396_c0	H+ + L-Rhamnose <=> H+ + L-Rhamnose	<=>
rxn05644	D-ribose transport out via ABC system	|TC-3.A.1.2|3.A.1.2|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00105_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00105_e0	H2O + ATP + D-Ribose <=> ADP + Phosphate + H+ + D-Ribose	=>
rxn05643	Raffinose transport in via proton symport			0	2	cpd00067_e0 + cpd00382_e0 <=> cpd00067_c0 + cpd00382_c0	H+ + Melitose <=> H+ + Melitose	<=>
